caldt,vwretd,vwretx
1989-01-03,-0.007608,-0.007737
1989-01-04,0.013025,0.012782
1989-01-05,0.002884,0.002850
1989-01-06,0.003047,0.003037
1989-01-09,0.001606,0.001448
1989-01-10,-0.001983,-0.002027
1989-01-11,0.004670,0.004218
1989-01-12,0.004052,0.004046
1989-01-13,0.001730,0.001282
1989-01-16,0.001512,0.001512
1989-01-17,-0.001782,-0.001803
1989-01-18,0.008992,0.008965
1989-01-19,0.001955,0.001921
1989-01-20,0.000035,0.000022
1989-01-23,-0.005602,-0.005758
1989-01-24,0.009982,0.009833
1989-01-25,0.002790,0.002625
1989-01-26,0.008073,0.007937
1989-01-27,0.006218,0.006205
1989-01-30,0.003442,0.003279
1989-01-31,0.007450,0.007119
1989-02-01,0.000203,0.000103
1989-02-02,0.000416,0.000010
1989-02-03,0.001445,0.001400
1989-02-06,-0.001253,-0.001827
1989-02-07,0.010258,0.010149
1989-02-08,-0.001580,-0.001614
1989-02-09,-0.006801,-0.007076
1989-02-10,-0.011997,-0.012280
1989-02-13,0.000511,0.000110
1989-02-14,-0.000505,-0.000734
1989-02-15,0.007335,0.007254
1989-02-16,0.002214,0.002178
1989-02-17,0.005356,0.005072
1989-02-21,-0.001918,-0.001983
1989-02-22,-0.014061,-0.014164
1989-02-23,0.002977,0.002708
1989-02-24,-0.012898,-0.012922
1989-02-27,0.000807,0.000520
1989-02-28,0.003373,0.003227
1989-03-01,-0.003356,-0.003579
1989-03-02,0.008542,0.008444
1989-03-03,0.003951,0.003915
1989-03-06,0.009950,0.009581
1989-03-07,-0.001291,-0.001447
1989-03-08,0.001053,0.001024
1989-03-09,-0.000470,-0.000910
1989-03-10,-0.002281,-0.002331
1989-03-13,0.006157,0.005997
1989-03-14,-0.000413,-0.000493
1989-03-15,0.004033,0.004001
1989-03-16,0.007890,0.007869
1989-03-17,-0.019599,-0.019680
1989-03-20,-0.009418,-0.009463
1989-03-21,0.004690,0.004582
1989-03-22,-0.002472,-0.002488
1989-03-23,-0.003646,-0.003647
1989-03-27,0.003599,0.002952
1989-03-28,0.003684,0.003629
1989-03-29,0.002497,0.002490
1989-03-30,0.000887,0.000777
1989-03-31,0.007690,0.007664
1989-04-03,0.004392,0.004161
1989-04-04,-0.002066,-0.002467
1989-04-05,0.002956,0.002928
1989-04-06,-0.002217,-0.002230
1989-04-07,0.005629,0.005619
1989-04-10,0.000289,0.000117
1989-04-11,0.004267,0.004223
1989-04-12,0.002071,0.002069
1989-04-13,-0.006790,-0.006856
1989-04-14,0.013098,0.013064
1989-04-17,0.000917,0.000805
1989-04-18,0.011336,0.011266
1989-04-19,0.003584,0.003573
1989-04-20,-0.001687,-0.001687
1989-04-21,0.007517,0.007487
1989-04-24,-0.001410,-0.001655
1989-04-25,-0.003950,-0.004190
1989-04-26,0.001343,0.001182
1989-04-27,0.007119,0.007110
1989-04-28,0.000953,0.000930
1989-05-01,-0.001275,-0.001544
1989-05-02,-0.001635,-0.001840
1989-05-03,0.000213,0.000067
