caldt,vwretd,vwretx
1989-12-29,0.018294,0.015515
1990-01-31,-0.070114,-0.071947
1990-02-28,0.014900,0.010957
1990-03-30,0.024148,0.021626
1990-04-30,-0.028283,-0.030562
1990-05-31,0.088935,0.084648
1990-06-29,-0.004193,-0.006736
1990-07-31,-0.009392,-0.011593
1990-08-31,-0.091903,-0.095716
1990-09-28,-0.053844,-0.056110
1990-10-31,-0.012499,-0.015049
1990-11-30,0.065742,0.061414
1990-12-31,0.029511,0.026274
1991-01-31,0.049083,0.046987
1991-02-28,0.075848,0.071836
1991-03-28,0.028922,0.026702
1991-04-30,0.003311,0.001186
1991-05-31,0.040737,0.037177
1991-06-28,-0.044024,-0.046271
1991-07-31,0.046779,0.044984
1991-08-30,0.026807,0.023275
1991-09-30,-0.010979,-0.013078
1991-10-31,0.017847,0.016248
1991-11-29,-0.037291,-0.040572
1991-12-31,0.106782,0.104147
1992-01-31,-0.001164,-0.002591
1992-02-28,0.013355,0.010308
1992-03-31,-0.023699,-0.025970
1992-04-30,0.013414,0.011872
1992-05-29,0.006407,0.003302
1992-06-30,-0.019258,-0.021665
1992-07-31,0.039900,0.038369
1992-08-31,-0.020819,-0.023970
1992-09-30,0.012461,0.010286
1992-10-30,0.010983,0.009546
1992-11-30,0.040181,0.036954
1992-12-31,0.017740,0.015533
1993-01-29,0.012616,0.011300
1993-02-26,0.005425,0.002664
1993-03-31,0.025089,0.022659
1993-04-30,-0.025391,-0.026714
1993-05-28,0.029572,0.026539
1993-06-30,0.005434,0.003218
1993-07-30,-0.000806,-0.002153
1993-08-31,0.039496,0.036565
1993-09-30,0.000629,-0.001353
1993-10-29,0.018051,0.016730
1993-11-30,-0.017600,-0.020476
1993-12-31,0.019554,0.017529
1994-01-31,0.031459,0.030071
1994-02-28,-0.024207,-0.026759
1994-03-31,-0.045795,-0.047882
1994-04-29,0.009495,0.008045
1994-05-31,0.009353,0.006362
1994-06-30,-0.027880,-0.030055
1994-07-29,0.030657,0.029283
1994-08-31,0.042629,0.039724
1994-09-30,-0.018338,-0.020352
1994-10-31,0.014521,0.013000
1994-11-30,-0.037206,-0.039980
1994-12-30,0.012580,0.010141
1995-01-31,0.020353,0.018753
1995-02-28,0.039647,0.037074
1995-03-31,0.027064,0.024887
1995-04-28,0.025048,0.023597
1995-05-31,0.033909,0.031129
1995-06-30,0.031142,0.029212
1995-07-31,0.040801,0.038953
1995-08-31,0.009300,0.006798
1995-09-29,0.036354,0.034641
1995-10-31,-0.011339,-0.012670
1995-11-30,0.042771,0.040301
1995-12-29,0.015192,0.013354
1996-01-31,0.028121,0.026805
1996-02-29,0.016353,0.014231
1996-03-29,0.010914,0.009211
1996-04-30,0.025560,0.024315
1996-05-31,0.026810,0.024551
1996-06-28,-0.008289,-0.009820
1996-07-31,-0.053851,-0.055285
1996-08-30,0.032451,0.030381
1996-09-30,0.052985,0.051279
1996-10-31,0.013673,0.012302
1996-11-29,0.065594,0.063622
1996-12-31,-0.011381,-0.013070
1997-01-31,0.053473,0.052358
1997-02-28,-0.001067,-0.002802
1997-03-31,-0.044889,-0.046515
1997-04-30,0.042396,0.041181
1997-05-30,0.071640,0.069787
1997-06-30,0.044081,0.042690
1997-07-31,0.076513,0.075201
1997-08-29,-0.036323,-0.037678
1997-09-30,0.058453,0.057049
1997-10-31,-0.034433,-0.035502
1997-11-28,0.030354,0.028841
1997-12-31,0.017822,0.016307
1998-01-30,0.004511,0.003633
1998-02-27,0.073321,0.071816
1998-03-31,0.051273,0.050016
1998-04-30,0.010924,0.009923
1998-05-29,-0.025746,-0.027038
1998-06-30,0.031839,0.030620
1998-07-31,-0.023377,-0.024353
1998-08-31,-0.157860,-0.159168
1998-09-30,0.063814,0.062295
1998-10-30,0.074406,0.073388
1998-11-30,0.062001,0.060593
1998-12-31,0.063058,0.061730
1999-01-29,0.038447,0.037646
1999-02-26,-0.038083,-0.039268
1999-03-31,0.037925,0.036652
1999-04-30,0.049092,0.048271
1999-05-28,-0.020708,-0.022384
1999-06-30,0.050823,0.049725
1999-07-30,-0.030833,-0.031710
1999-08-31,-0.009918,-0.011065
1999-09-30,-0.022669,-0.023872
1999-10-29,0.062107,0.061318
1999-11-30,0.036822,0.035616
1999-12-31,0.083745,0.082631
2000-01-31,-0.039622,-0.040263
2000-02-29,0.031760,0.030657
2000-03-31,0.053499,0.052515
2000-04-28,-0.059519,-0.060310
2000-05-31,-0.038863,-0.040020
2000-06-30,0.051576,0.050779
2000-07-31,-0.017679,-0.018399
2000-08-31,0.074984,0.073803
2000-09-29,-0.051154,-0.051895
2000-10-31,-0.024480,-0.025155
2000-11-30,-0.102365,-0.103574
2000-12-29,0.020450,0.019455
2001-01-31,0.039573,0.038787
2001-02-28,-0.099084,-0.100183
2001-03-30,-0.070408,-0.071364
2001-04-30,0.083834,0.082830
2001-05-31,0.010442,0.009064
2001-06-29,-0.017561,-0.018336
2001-07-31,-0.018284,-0.019250
2001-08-31,-0.058980,-0.060355
2001-09-28,-0.091497,-0.092630
2001-10-31,0.027847,0.026829
2001-11-30,0.078789,0.077353
2001-12-31,0.017854,0.016573
2002-01-31,-0.015966,-0.016921
2002-02-28,-0.021700,-0.023066
2002-03-28,0.044698,0.043730
2002-04-30,-0.049600,-0.050504
2002-05-31,-0.010510,-0.011958
2002-06-28,-0.070259,-0.071515
2002-07-31,-0.081125,-0.082310
2002-08-30,0.007949,0.006405
2002-09-30,-0.099923,-0.101387
2002-10-31,0.074940,0.073522
2002-11-29,0.061282,0.059612
2002-12-31,-0.053334,-0.054977
2003-01-31,-0.023367,-0.024576
2003-02-28,-0.015417,-0.017243
2003-03-31,0.010321,0.008901
2003-04-30,0.082768,0.081180
2003-05-30,0.063471,0.061778
2003-06-30,0.016346,0.014797
2003-07-31,0.023112,0.021764
2003-08-29,0.024965,0.023486
2003-09-30,-0.009120,-0.010607
2003-10-31,0.060361,0.058882
2003-11-28,0.016594,0.015052
2003-12-31,0.045476,0.043820
2004-01-30,0.023042,0.022019
2004-02-27,0.015443,0.013958
2004-03-31,-0.010662,-0.011985
2004-04-30,-0.024222,-0.025568
2004-05-28,0.014068,0.012384
2004-06-30,0.021611,0.020049
2004-07-30,-0.037698,-0.038792
2004-08-31,0.002703,0.001058
2004-09-30,0.020556,0.019099
2004-10-29,0.017806,0.016579
2004-11-30,0.048214,0.044320
2004-12-31,0.035170,0.033414
2005-01-31,-0.026546,-0.027399
2005-02-28,0.022646,0.020810
2005-03-31,-0.016944,-0.018578
2005-04-29,-0.025206,-0.026590
2005-05-31,0.037954,0.036151
2005-06-30,0.011529,0.009905
2005-07-29,0.043357,0.042251
2005-08-31,-0.005958,-0.007776
2005-09-30,0.010600,0.009331
2005-10-31,-0.020866,-0.021974
2005-11-30,0.040326,0.038073
2005-12-30,0.003458,0.001884
2006-01-31,0.040072,0.038966
2006-02-28,-0.001639,-0.003552
2006-03-31,0.019065,0.017598
2006-04-28,0.012999,0.011529
2006-05-31,-0.031026,-0.033005
2006-06-30,-0.000374,-0.001871
2006-07-31,-0.001906,-0.002949
2006-08-31,0.025056,0.022983
2006-09-29,0.019444,0.018128
2006-10-31,0.037125,0.036077
2006-11-30,0.023755,0.021387
2006-12-29,0.010850,0.009162
2007-01-31,0.019386,0.018448
2007-02-28,-0.014023,-0.016019
2007-03-30,0.012955,0.011486
2007-04-30,0.039864,0.038495
2007-05-31,0.038937,0.036641
2007-06-29,-0.014717,-0.016075
2007-07-31,-0.031760,-0.032766
2007-08-31,0.011588,0.009632
2007-09-28,0.040875,0.039368
2007-10-31,0.025923,0.024781
2007-11-30,-0.049415,-0.051367
2007-12-31,-0.004288,-0.006223
2008-01-31,-0.062356,-0.063478
2008-02-29,-0.022002,-0.023967
2008-03-31,-0.010401,-0.012140
2008-04-30,0.051221,0.049882
2008-05-30,0.023992,0.021642
2008-06-30,-0.078606,-0.080328
2008-07-31,-0.013285,-0.014635
2008-08-29,0.011155,0.009140
2008-09-30,-0.098318,-0.100093
2008-10-31,-0.184868,-0.186375
2008-11-28,-0.085405,-0.088210
2008-12-31,0.021629,0.018801
2009-01-30,-0.077633,-0.079072
